number;name;avgMark
1;Микропроцессорная техника и встраиваемые системы;3.827
2;Метрология, стандартизация и сертификация 1.1;2.662
3;Безопасность жизнедеятельности 1.1;4.135
4;Средства автоматизации и управления;3.924
5;История;3.779
6;Математический анализ 1;3.543
7;Физика 1;3.269
8;Химия;3.053
9;Информатика;3.089
10;Экология;2.24
11;Начертательная геометрия и инженерная графика;3.407
12;Электротехническое Материаловедение;2
13;Методы и средства автоматизации профессиональной деятельности;2.35
14;Электроэнергетические системы и сети;3.386
15;Математическое моделирование в электроэнергетических системах;4
16;Электрические станции и подстанции;3.575
17;Автоматика управления режимами энергосистем;3.826
18;Философия;2.962
19;Электромеханические переходные процессы в электроэнергетических системах;3.759
20;Режимы и надежность энергосистем;3.63
21;Теоретическая и прикладная механика;3.188
22;Конструкционное Материаловедение;3
23;Релейная защита и автоматизация электроэнергетических систем;3.453
24;Начертательная геометрия и инженерная графика 1.4;3.661
25;Техническая термодинамика;3.385
26;Материаловедение и технология конструкционных материалов;3.567
27;Техника высоких напряжений;3.925
28;Математика 3.1;3.526
29;Технология централизованного производства электроэнергии;3.436
30;Информатика 1.1;2.336
31;Электрический привод;3.308
32;Физика пласта;3.614
33;Учебно-исследовательская работа студентов;2
34;Экономика 2.1;4.16
35;Физическая культура и спорт;2.046
36;Начертательная геометрия и инженерная графика 1.3;3.55
37;Физика 1.1;3.57
38;Химия 1.2;3.423
39;Начертательная геометрия и инженерная графика 2.3;2.225
40;Гидрогазодинамика;3.902
41;Математика 1.1;3.28
42;Начертательная геометрия и инженерная графика 2.1;3.475
43;Геология, поиски и разведка месторождений углеводородов;3.844
44;Физико-химические методы анализа;4.083
45;Профессиональный иностранный язык (английский);2.125
46;Прикладной системный анализ;3.009
47;Маркетинг;3.779
48;Математическое моделирование и расчеты теплотехнических систем;3.393
49;Электротехника 1.3;3.677
50;Водоподготовка;2.2
51;Иностранный язык (немецкий);2.897
52;Тепломассообмен;3.206
53;Насосы, вентиляторы, компрессоры;2
54;Электроснабжение;2.667
55;Программные средства профессиональной деятельности;2.012
56;Введение в инженерную деятельность;2.137
57;Анализ хозяйственной деятельности;3.817
58;Информационные системы в налогообложении;2
59;Инженерно-производственная подготовка;3.763
60;Логистика на предприятиях АПК;2
61;Информационные системы в бухгалтерском учете и аудите;4.333
62;Проектирование предприятий технического сервиса;4.136
63;Производство сварных конструкций;3.548
64;Технология ремонта машин;3.867
65;Контроль и методы управления качеством в сварочном производстве;4.125
66;Математика 2.1;3.489
67;Элективные дисциплины по физической культуре и спорту;2.069
68;Диагностика и техническое обслуживание машин;3.815
69;САПР машиностроительных изделий и технологий;3.726
70;Иностранный язык (английский);3.461
71;Начертательная геометрия и инженерная графика 1.1;3.393
72;Физика 2.1;3.625
73;Правоведение;2.122
74;Физика 3.1;3.693
75;Теоретическая механика 1;3.592
76;Сопротивление материалов;3.452
77;Теоретическая механика 2;3.167
78;Теория механизмов и машин;3.446
79;Экономика 1.1;4.131
80;Электроника 1.3;2
81;Экономика 2.4;3.937
82;Организация и ведение аварийно-спасательных работ;4.162
83;Радиационная и химическая защита;2.417
84;Устойчивость объектов экономики в чрезвычайных ситуациях;4.08
85;Практикум по бухгалтерскому учету, анализу и аудиту;4.158
86;Формационный анализ;2
87;Природоохранные технологии на АЭС;4.119
88;Экономика и организация геолого-разведочных работ;4.206
89;Нагнетатели ТЭС;2
90;Геологическая интерпретация геофизических данных;2
91;Технология конструкционных материалов;3.377
92;Детали машин и основы проектирования 1;3.412
93;Механика жидкости и газа;3.651
94;Спецглавы математики;3.748
95;Экономика 2.3;3.97
96;Элементы физики твердого тела;4.397
97;Детали машин и основы проектирования 2;3.223
98;Основы технологии машиностроения;3.5
99;Спецглавы информатики;2.087
100;Гидравлические машины и гидропневмопривод;3.516
101;Математическое моделирование;3.752
102;Металлообрабатывающие станки и технологическая оснастка;3.767
103;Термодинамика;3.724
104;Автоматизация машиностроительных производств;3.615
105;Менеджмент 1.1;4.065
106;Проектирование механосборочных цехов;2
107;Резание материалов и режущий инструмент;3.456
108;Теория решения изобретательских задач;3.909
109;Технические измерения в машиностроении;3.292
110;Реконструкции и восстановление скважин;2
111;Особенности строительства скважин на шельфе и в Арктике;2
112;Автоматизированные системы управления АЭС;4
113;Химия 1.6;3.234
114;Физика 1.2;3.652
115;Теплообменное оборудование ТЭС и АЭС;3.85
116;Турбины тепловых и атомных электрических станций;3.439
117;Информатика. Часть 2;3.465
118;Линейная алгебра и аналитическая геометрия;3.059
119;Физика;3.189
120;Информационные технологии;3.472
121;Программирование;3.723
122;Геоэкология;4.114
123;Инженерная и компьютерная графика;3.368
124;Анализ и диагностика финансово-хозяйственной деятельности предприятий;3.918
125;Основы научных исследований;2
126;Современные компьютерные технологии;3.92
127;Историческая Геология, основы стратиграфии, палеонтологии;3.424
128;Дифференциальное исчисление;3.081
129;Начертательная геометрия. Инженерно-геологическая графика;3.5
130;Геодезия;3.775
131;Культурология;2.161
132;Объектно-ориентированное программирование;3.25
133;Математика;3.096
134;Аналитическая химия;3.316
135;Общая Геология;3.713
136;Геология нефти и газа;3.833
137;Введение в специальность;4.667
138;Теоретические основы электротехники;2.914
139;Электротехника и электроника;2.685
140;Методы математической физики;3
141;Четвертичная геология с основами геоморфологии;3
142;Основы природопользования;5
143;Математический анализ;3.765
144;Программирование и основы алгоритмизации;4.313
145;История нефтегазовой отрасли и основы нефтегазового дела;2
146;Социология;2.5
147;Общая и неорганическая химия;2.739
148;Общий физический практикум;2
149;Электричество, магнетизм, волны;4
150;Физика Земли;3.5
151;Экономика;3.394
152;Физические основы измерений параметров движения;3.857
153;Детали приборов и основы конструирования;3.918
154;Основы автоматического управления;2.75
155;Физические основы получения информации;3.91
156;Электроника и микропроцессорная техника;2.6
157;Физика 2;3.151
158;Уравнения математической физики;3.633
159;Электрические машины;3.574
160;Метрология, стандартизация и сертификация;2.848
161;Электроника;3.282
