number;disciplines_id;avgMark
1;1;3.827
2;2;2.662
3;3;4.135
4;4;3.924
5;5;3.779
6;6;3.543
7;7;3.269
8;8;3.053
9;9;3.089
10;10;2.24
11;11;3.407
12;12;2
13;13;2.35
14;14;3.386
15;15;4
16;16;3.575
17;17;3.826
18;18;2.962
19;19;3.759
20;20;3.63
21;21;3.188
22;22;3
23;23;3.453
24;24;3.661
25;25;3.385
26;26;3.567
27;27;3.925
28;28;3.526
29;29;3.436
30;30;2.336
31;31;3.308
32;32;3.614
33;33;2
34;34;4.16
35;35;2.046
36;36;3.55
37;37;3.57
38;38;3.423
39;39;2.225
40;40;3.902
41;41;3.28
42;42;3.475
43;43;3.844
44;44;4.083
45;45;2.125
46;46;3.009
47;47;3.779
48;48;3.393
49;49;3.677
50;50;2.2
51;51;2.897
52;52;3.206
53;54;2.667
54;55;2.012
55;56;2.137
56;57;3.817
57;59;3.763
58;61;4.333
59;62;4.136
60;63;3.548
61;64;3.867
62;66;3.489
63;67;2.069
64;68;3.815
65;69;3.726
66;70;3.461
67;71;3.393
68;72;3.625
69;73;2.122
70;74;3.693
71;75;3.592
72;76;3.452
73;77;3.167
74;78;3.446
75;79;4.131
76;80;2
77;81;3.937
78;83;4.162
79;84;2.417
80;85;4.08
81;86;4.158
82;87;2
83;88;4.119
84;89;4.206
85;92;3.377
86;93;3.412
87;94;3.651
88;95;3.748
89;96;3.97
90;97;4.397
91;98;3.223
92;100;3.5
93;101;2.087
94;102;3.516
95;103;3.752
96;104;3.767
97;105;3.724
98;106;3.615
99;107;4.065
100;109;3.456
101;110;3.909
102;111;3.292
103;115;4
104;116;3.234
105;117;3.652
106;118;3.85
107;119;3.439
108;120;3.465
109;121;3.059
110;122;3.189
111;123;3.472
112;124;3.723
113;125;4.114
114;126;3.368
115;127;3.918
116;129;3.92
117;130;3.424
118;131;3.081
119;133;3.775
120;134;2.161
121;136;3.096
122;137;3.316
123;138;3.713
124;139;3.833
125;142;2.914
126;143;2.685
127;144;3
128;148;3.765
129;149;4.313
130;150;2
131;151;2.5
132;152;2.739
133;155;3.5
134;156;3.394
135;157;3.857
136;158;3.918
137;160;3.91
138;162;3.151
139;163;3.633
140;164;3.574
141;165;2.848
142;166;3.282
143;167;3.261
144;168;3.036
145;170;4.143
146;171;2.35
147;175;4.389
148;176;2.304
149;178;3.191
150;180;2.588
151;182;3.845
152;183;3.683
153;184;2.706
154;185;4.308
155;186;4.063
156;188;2
157;190;3.939
158;193;4.5
159;194;3.272
160;196;3.833
161;198;4.29
162;200;3.307
163;201;3.283
164;202;4.435
165;203;3.068
166;204;2
167;208;4.098
168;209;4.615
169;211;3.571
170;215;3.65
171;217;2.563
172;220;3.417
173;225;2
174;226;4.091
175;227;3.971
176;228;3.292
177;229;3.478
178;231;3.9
179;232;3.636
180;233;3.963
181;234;3.533
182;235;2
183;236;3.89
184;239;3.683
185;240;2.917
186;244;4.171
187;245;4.259
188;246;3.462
189;248;4.078
190;249;4.781
191;250;3.154
192;251;3.37
193;255;3.185
194;259;3.448
195;263;3.395
196;266;4.265
197;268;3.361
198;269;3.394
199;271;4.043
200;277;3.323
201;278;3.44
202;279;4.167
203;285;2.974
204;286;3.875
205;291;3.576
206;293;3.813
207;294;2.925
208;295;3.507
209;296;2
210;297;4.106
211;298;3.785
212;299;2.047
213;300;2.069
214;301;4.45
215;303;2.765
216;307;3.526
217;312;4
218;314;3.455
219;318;3.569
220;320;4.38
221;322;4.095
222;326;3.141
223;328;4.69
224;329;3.429
225;330;4.6
226;331;4.6
227;332;4.118
228;335;4.182
229;344;4.345
230;348;3.744
231;349;3.719
232;351;4.482
233;354;3.692
234;355;3.586
235;357;3.713
236;361;3.05
237;364;2
238;365;3.506
239;367;3.98
240;369;4.138
241;371;2.563
242;372;4.086
243;373;2.038
244;374;3.653
245;386;3.633
246;388;3.978
247;393;3.758
248;394;3.664
249;395;3.482
250;396;3.374
251;397;4.106
252;398;4.297
253;399;3.574
254;401;3.427
255;402;4.471
256;403;3.904
257;404;4.22
258;406;4.065
259;407;4.171
260;408;3
261;409;2.133
262;410;3.328
263;411;3.945
264;412;2.524
265;415;4.022
266;416;3.357
267;419;3.225
268;421;4.4
269;424;2.833
270;425;4.111
271;430;3.386
272;436;3.029
273;437;3.3
274;438;4.168
275;439;2.556
276;444;3.571
277;447;4.036
278;448;3.15
279;449;3.225
280;450;3.929
281;452;3.327
282;453;3.7
283;454;3.478
284;456;2.364
285;458;3.749
286;460;4.667
287;461;3.704
288;465;4.25
289;466;4.278
290;467;4.893
291;474;4.115
292;477;4.338
293;478;4.403
294;480;3.426
295;481;2
296;484;4.125
297;488;4.103
298;493;2.588
299;496;5
300;497;4.301
301;498;4.64
302;499;3.224
303;502;3.417
304;512;4.5
305;514;4.784
306;515;3.911
307;516;3.41
308;517;3.88
309;518;4.636
310;519;3.091
311;521;3.716
312;522;3.741
313;523;4.104
314;524;4.154
315;528;4.734
316;531;3.671
317;533;3.41
318;534;3.344
319;535;3.298
320;537;2.278
321;538;2.063
322;539;4.194
323;547;4.333
324;548;3.476
325;555;4
326;556;4.671
327;560;3.405
328;561;3.7
329;563;4.219
330;564;3.083
